date,open,high,low,close,volume
2021-11-08,7.12,7.12,7.04,7.10,19085
2021-11-09,7.13,7.34,7.12,7.21,32358
2021-11-09,7.13,7.34,7.12,7.21,32358
2021-11-10,7.22,7.35,7.11,7.27,42520
2021-11-10,7.22,7.35,7.11,7.27,42520
2021-11-11,7.25,7.36,7.22,7.30,29059
2021-11-11,7.25,7.36,7.22,7.30,29059
2021-11-12,7.37,7.46,7.28,7.35,33919
2021-11-12,7.37,7.46,7.28,7.35,33919
2021-11-15,7.38,7.39,7.27,7.38,31833
2021-11-15,7.38,7.39,7.27,7.38,31833
2021-11-16,7.40,7.41,7.25,7.29,28370
2021-11-16,7.40,7.41,7.25,7.29,28370
2021-11-17,7.25,7.30,7.23,7.26,21730
2021-11-17,7.25,7.30,7.23,7.26,21730
2021-11-18,7.26,7.32,7.20,7.21,24217
2021-11-18,7.26,7.32,7.20,7.21,24217
2021-11-19,7.18,7.33,7.11,7.30,32890
2021-11-19,7.18,7.33,7.11,7.30,32890
2021-11-22,7.32,7.35,7.24,7.27,22623
2021-11-22,7.32,7.35,7.24,7.27,22623
2021-11-23,7.27,7.30,7.22,7.25,21137
2021-11-23,7.27,7.30,7.22,7.25,21137
2021-11-24,7.26,7.40,7.18,7.40,54608
2021-11-24,7.26,7.40,7.18,7.40,54608
2021-11-25,7.40,7.51,7.31,7.33,51699
2021-11-25,7.40,7.51,7.31,7.33,51699
2021-11-26,7.30,7.88,7.28,7.61,114926
2021-11-26,7.30,7.88,7.28,7.61,114926
2021-11-29,7.48,7.57,7.34,7.47,48244
2021-11-29,7.48,7.57,7.34,7.47,48244
2021-11-30,7.50,7.68,7.45,7.56,56047
2021-11-30,7.50,7.68,7.45,7.56,56047
2021-12-01,7.53,7.66,7.48,7.65,34899
2021-12-01,7.53,7.66,7.48,7.65,34899
2021-12-02,7.69,7.70,7.50,7.50,24004
2021-12-02,7.69,7.70,7.50,7.50,24004
2021-12-03,7.53,7.65,7.42,7.61,40015
2021-12-03,7.53,7.65,7.42,7.61,40015
2021-12-06,7.67,7.71,7.54,7.57,26626
2021-12-06,7.67,7.71,7.54,7.57,26626
2021-12-07,7.58,7.68,7.46,7.54,31050
2021-12-07,7.58,7.68,7.46,7.54,31050
2021-12-08,7.54,7.60,7.50,7.51,23852
2021-12-08,7.54,7.60,7.50,7.51,23852
2021-12-09,7.50,7.60,7.45,7.53,22081
2021-12-09,7.50,7.60,7.45,7.53,22081
2021-12-10,7.52,7.70,7.46,7.59,25290
2021-12-10,7.52,7.70,7.46,7.59,25290
2021-12-13,7.58,7.68,7.58,7.62,35070
2021-12-13,7.58,7.68,7.58,7.62,35070
2021-12-14,7.64,7.67,7.59,7.62,26082
2021-12-14,7.64,7.67,7.59,7.62,26082
2021-12-15,7.65,7.90,7.60,7.85,102358
2021-12-15,7.65,7.90,7.60,7.85,102358
2021-12-16,7.82,7.99,7.78,7.91,59217
2021-12-16,7.82,7.99,7.78,7.91,59217
2021-12-17,7.91,8.14,7.86,7.98,77552
2021-12-17,7.91,8.14,7.86,7.98,77552
2021-12-20,7.93,8.06,7.72,7.75,56356
2021-12-20,7.93,8.06,7.72,7.75,56356
2021-12-21,7.74,7.95,7.66,7.89,46479
2021-12-21,7.74,7.95,7.66,7.89,46479
2021-12-22,7.89,7.92,7.72,7.74,43504
2021-12-22,7.89,7.92,7.72,7.74,43504
2021-12-23,7.75,7.90,7.67,7.81,56895
2021-12-23,7.75,7.90,7.67,7.81,56895
2021-12-24,7.75,8.02,7.68,7.70,65498
2021-12-24,7.75,8.02,7.68,7.70,65498
2021-12-27,7.65,8.47,7.61,8.20,223553
2021-12-27,7.65,8.47,7.61,8.20,223553
2021-12-28,8.14,8.14,7.90,7.94,160240
2021-12-28,8.14,8.14,7.90,7.94,160240
