date,open,high,low,close,volume
2021-11-08,4.93,5.22,4.82,5.22,69027
2021-11-09,5.40,5.48,5.35,5.48,42659
2021-11-09,5.40,5.48,5.35,5.48,42659
2021-11-10,5.50,5.70,5.34,5.38,153132
2021-11-10,5.50,5.70,5.34,5.38,153132
2021-11-11,5.43,5.65,5.40,5.65,45317
2021-11-11,5.43,5.65,5.40,5.65,45317
2021-11-12,5.80,5.93,5.56,5.75,87011
2021-11-12,5.80,5.93,5.56,5.75,87011
2021-11-15,5.75,5.76,5.52,5.65,78936
2021-11-15,5.75,5.76,5.52,5.65,78936
2021-11-16,5.61,5.93,5.60,5.93,36439
2021-11-16,5.61,5.93,5.60,5.93,36439
2021-11-17,6.09,6.22,6.01,6.21,79911
2021-11-17,6.09,6.22,6.01,6.21,79911
2021-11-18,6.10,6.35,5.90,6.03,176025
2021-11-18,6.10,6.35,5.90,6.03,176025
2021-11-19,6.02,6.23,5.91,6.11,74841
2021-11-19,6.02,6.23,5.91,6.11,74841
2021-11-22,6.12,6.22,5.80,5.85,166389
2021-11-22,6.12,6.22,5.80,5.85,166389
2021-11-23,5.86,5.86,5.56,5.56,108106
2021-11-23,5.86,5.86,5.56,5.56,108106
2021-11-24,5.49,5.58,5.28,5.45,227840
2021-11-24,5.49,5.58,5.28,5.45,227840
2021-11-25,5.44,5.60,5.21,5.37,133282
2021-11-25,5.44,5.60,5.21,5.37,133282
2021-11-26,5.35,5.49,5.27,5.34,72934
2021-11-26,5.35,5.49,5.27,5.34,72934
2021-11-29,5.26,5.61,5.17,5.61,89986
2021-11-29,5.26,5.61,5.17,5.61,89986
2021-11-30,5.89,5.89,5.89,5.89,43167
2021-11-30,5.89,5.89,5.89,5.89,43167
2021-12-01,6.18,6.18,5.78,6.10,209089
2021-12-01,6.18,6.18,5.78,6.10,209089
2021-12-02,6.15,6.37,6.04,6.28,174677
2021-12-02,6.15,6.37,6.04,6.28,174677
2021-12-03,6.35,6.38,6.09,6.13,131213
2021-12-03,6.35,6.38,6.09,6.13,131213
2021-12-06,6.14,6.17,5.82,5.82,96879
2021-12-06,6.14,6.17,5.82,5.82,96879
2021-12-07,5.94,5.94,5.53,5.80,210299
2021-12-07,5.94,5.94,5.53,5.80,210299
2021-12-08,5.72,5.91,5.60,5.82,79236
2021-12-08,5.72,5.91,5.60,5.82,79236
2021-12-09,5.76,5.91,5.67,5.83,57120
2021-12-09,5.76,5.91,5.67,5.83,57120
2021-12-10,5.82,5.85,5.71,5.85,49913
2021-12-10,5.82,5.85,5.71,5.85,49913
2021-12-13,5.87,5.87,5.68,5.85,78799
2021-12-13,5.87,5.87,5.68,5.85,78799
2021-12-14,5.82,5.91,5.61,5.76,71003
2021-12-14,5.82,5.91,5.61,5.76,71003
2021-12-15,5.75,5.75,5.47,5.60,161532
2021-12-15,5.75,5.75,5.47,5.60,161532
2021-12-16,5.53,5.53,5.34,5.34,53101
2021-12-16,5.53,5.53,5.34,5.34,53101
2021-12-17,5.36,5.61,5.22,5.61,124609
2021-12-17,5.36,5.61,5.22,5.61,124609
2021-12-20,5.65,5.80,5.55,5.71,95215
2021-12-20,5.65,5.80,5.55,5.71,95215
2021-12-21,5.70,5.75,5.57,5.62,57330
2021-12-21,5.70,5.75,5.57,5.62,57330
2021-12-22,5.70,5.74,5.60,5.62,64904
2021-12-22,5.70,5.74,5.60,5.62,64904
2021-12-23,5.67,5.70,5.55,5.67,56609
2021-12-23,5.67,5.70,5.55,5.67,56609
2021-12-24,5.70,5.92,5.70,5.90,86263
2021-12-24,5.70,5.92,5.70,5.90,86263
2021-12-27,5.87,5.96,5.66,5.81,95854
2021-12-27,5.87,5.96,5.66,5.81,95854
2021-12-28,5.81,5.82,5.65,5.72,69884
