date,open,high,low,close,volume
2021-11-08,6.05,6.05,5.60,5.64,218784
2021-11-09,5.63,5.68,5.49,5.53,186280
2021-11-09,5.63,5.68,5.49,5.53,186280
2021-11-10,5.53,5.58,5.46,5.53,123339
2021-11-10,5.53,5.58,5.46,5.53,123339
2021-11-11,5.53,5.65,5.51,5.62,111127
2021-11-11,5.53,5.65,5.51,5.62,111127
2021-11-12,5.65,6.21,5.65,6.21,257796
2021-11-12,5.65,6.21,5.65,6.21,257796
2021-11-15,6.39,6.51,6.19,6.36,474732
2021-11-15,6.39,6.51,6.19,6.36,474732
2021-11-16,6.36,6.71,6.24,6.49,495495
2021-11-16,6.36,6.71,6.24,6.49,495495
2021-11-17,6.48,6.67,6.41,6.63,378017
2021-11-17,6.48,6.67,6.41,6.63,378017
2021-11-18,6.65,6.95,6.53,6.54,304518
2021-11-18,6.65,6.95,6.53,6.54,304518
2021-11-19,6.69,7.22,6.41,7.08,584556
2021-11-19,6.69,7.22,6.41,7.08,584556
2021-11-22,7.08,7.48,6.88,7.44,430165
2021-11-22,7.08,7.48,6.88,7.44,430165
2021-11-23,7.33,8.08,7.30,7.94,391027
2021-11-23,7.33,8.08,7.30,7.94,391027
2021-11-24,7.89,7.98,7.52,7.64,297923
2021-11-24,7.89,7.98,7.52,7.64,297923
2021-11-25,7.75,7.77,7.33,7.39,238990
2021-11-25,7.75,7.77,7.33,7.39,238990
2021-11-26,7.30,8.08,7.30,8.00,431467
2021-11-26,7.30,8.08,7.30,8.00,431467
2021-11-29,7.79,7.92,7.61,7.85,209821
2021-11-29,7.79,7.92,7.61,7.85,209821
2021-11-30,7.90,8.08,7.60,7.80,256601
2021-11-30,7.90,8.08,7.60,7.80,256601
2021-12-01,7.80,8.23,7.70,8.17,227949
2021-12-01,7.80,8.23,7.70,8.17,227949
2021-12-02,8.23,9.00,8.07,8.27,506057
2021-12-02,8.23,9.00,8.07,8.27,506057
2021-12-03,8.12,8.16,7.68,7.86,283508
2021-12-03,8.12,8.16,7.68,7.86,283508
2021-12-06,7.78,7.82,7.26,7.30,295436
2021-12-06,7.78,7.82,7.26,7.30,295436
2021-12-07,7.38,7.44,6.85,6.90,299015
2021-12-07,7.38,7.44,6.85,6.90,299015
2021-12-08,6.89,7.25,6.82,7.14,191880
2021-12-08,6.89,7.25,6.82,7.14,191880
2021-12-09,7.06,7.22,6.84,6.86,200503
2021-12-09,7.06,7.22,6.84,6.86,200503
2021-12-10,6.89,7.01,6.70,6.80,248910
2021-12-10,6.89,7.01,6.70,6.80,248910
2021-12-13,6.80,7.02,6.71,6.92,227428
2021-12-13,6.80,7.02,6.71,6.92,227428
