date,open,high,low,close,volume
2021-12-15,19.41,19.77,19.40,19.61,536411
2021-12-15,19.41,19.77,19.40,19.61,536411
2021-12-16,19.51,20.09,19.48,19.79,555017
2021-12-16,19.51,20.09,19.48,19.79,555017
2021-12-17,19.79,19.94,19.53,19.53,526783
2021-12-17,19.79,19.94,19.53,19.53,526783
2021-12-20,19.51,19.95,19.51,19.56,689598
2021-12-20,19.51,19.95,19.51,19.56,689598
2021-12-21,19.49,20.67,19.44,20.31,1592630
2021-12-21,19.49,20.67,19.44,20.31,1592630
2021-12-22,20.29,20.33,19.80,19.86,961986
2021-12-22,20.29,20.33,19.80,19.86,961986
2021-12-23,19.87,19.99,19.50,19.65,697227
2021-12-23,19.87,19.99,19.50,19.65,697227
2021-12-24,19.65,19.73,19.30,19.64,540677
2021-12-24,19.65,19.73,19.30,19.64,540677
2021-12-27,19.79,20.14,19.58,19.62,754744
2021-12-27,19.79,20.14,19.58,19.62,754744
2021-12-28,19.52,19.77,19.39,19.68,690468
2021-12-28,19.52,19.77,19.39,19.68,690468
2021-12-29,19.65,19.81,19.36,19.38,582144
2021-12-29,19.65,19.81,19.36,19.38,582144
2021-12-30,19.35,19.43,19.03,19.12,812213
2021-12-30,19.35,19.43,19.03,19.12,812213
2021-12-31,19.14,19.97,19.10,19.76,1159190
2021-12-31,19.14,19.97,19.10,19.76,1159190
2022-01-04,19.49,20.65,19.36,20.49,1947200
2022-01-04,19.49,20.65,19.36,20.49,1947200
2022-01-05,20.43,21.61,20.36,21.17,1930460
2022-01-05,20.43,21.61,20.36,21.17,1930460
2022-01-06,21.12,21.66,20.79,21.05,1380270
2022-01-06,21.12,21.66,20.79,21.05,1380270
2022-01-07,21.38,22.46,21.35,21.89,2262770
2022-01-07,21.38,22.46,21.35,21.89,2262770
2022-01-10,21.80,22.66,21.56,22.16,1527800
2022-01-10,21.80,22.66,21.56,22.16,1527800
2022-01-11,22.11,23.09,21.79,22.30,1702650
2022-01-11,22.11,23.09,21.79,22.30,1702650
2022-01-12,22.15,22.31,21.51,22.05,1268960
2022-01-12,22.15,22.31,21.51,22.05,1268960
2022-01-13,22.00,22.28,21.47,21.53,912867
2022-01-13,22.00,22.28,21.47,21.53,912867
2022-01-14,21.59,21.70,20.67,20.70,1047250
2022-01-14,21.59,21.70,20.67,20.70,1047250
2022-01-17,20.66,21.22,20.66,20.87,626021
2022-01-17,20.66,21.22,20.66,20.87,626021
2022-01-18,20.95,21.90,20.86,21.59,1067240
2022-01-18,20.95,21.90,20.86,21.59,1067240
2022-01-19,21.80,22.30,21.50,21.90,1191760
2022-01-19,21.80,22.30,21.50,21.90,1191760
2022-01-20,21.99,22.60,21.90,22.11,1592020
2022-01-20,21.99,22.60,21.90,22.11,1592020
2022-01-21,21.92,22.07,21.50,21.64,791296
2022-01-21,21.92,22.07,21.50,21.64,791296
2022-01-24,21.59,22.00,21.25,21.70,813584
2022-01-24,21.59,22.00,21.25,21.70,813584
2022-01-25,21.60,21.68,20.73,20.82,1063180
2022-01-25,21.60,21.68,20.73,20.82,1063180
2022-01-26,20.99,21.11,20.50,20.73,677404
2022-01-26,20.99,21.11,20.50,20.73,677404
2022-01-27,20.53,20.90,20.24,20.44,991858
2022-01-27,20.53,20.90,20.24,20.44,991858
2022-01-28,20.60,20.85,20.26,20.33,858900
2022-01-28,20.60,20.85,20.26,20.33,858900
2022-02-07,20.53,21.02,20.24,20.91,937564
2022-02-07,20.53,21.02,20.24,20.91,937564
2022-02-08,20.81,21.09,20.40,20.88,816508
2022-02-08,20.81,21.09,20.40,20.88,816508
2022-02-09,20.82,21.32,20.41,20.50,1369160
2022-02-09,20.82,21.32,20.41,20.50,1369160
2022-02-10,20.42,21.19,19.90,20.85,1409920
2022-02-10,20.42,21.19,19.90,20.85,1409920
2022-02-11,21.00,21.68,21.00,21.18,1491120
2022-02-11,21.00,21.68,21.00,21.18,1491120
2022-02-14,20.95,20.95,20.20,20.24,1268870
2022-02-14,20.95,20.95,20.20,20.24,1268870
2022-02-15,20.25,20.32,19.71,19.81,1140320
2022-02-15,20.25,20.32,19.71,19.81,1140320
2022-02-16,19.87,20.16,19.74,20.00,706490
2022-02-16,19.87,20.16,19.74,20.00,706490
2022-02-17,19.97,19.97,19.56,19.80,773035
2022-02-17,19.97,19.97,19.56,19.80,773035
